taxon,taxon1,taxon2,genus,tribe,subfamily,family,order,class,agg.ssp,rand.type,poly.ins
Laosanthus_graminifolius,,,Laosanthus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Kedhalia_flaviflora,,,Kedhalia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Larsenianthus_wardianus,,,Larsenianthus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Larsenianthus_careyanus,,,Larsenianthus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Larsenianthus_assamensis,,,Larsenianthus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Larsenianthus_arunachalensis,,,Larsenianthus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Myxochlamys_mullerensis,,,Myxochlamys,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Geostachys_megaphylla,,,Geostachys,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Geostachys_densiflora,,,Geostachys,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Aulotandra_trialata,,,Aulotandra,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Leptosolena_haenkei,,,Leptosolena,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Vanoverberghia_sasakiana,,,Vanoverberghia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
