"taxon","genus","tribe","subfamily","family","order","class"
"Macaca_fuscata","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_nigra","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_mulatta","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_arctoides","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_thibetana","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_assamensis","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_radiata","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_munzala","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Theropithecus_gelada","Theropithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Papio_papio","Papio",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Papio_hamadryas","Papio",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Rungwecebus_kipunji","Rungwecebus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Papio_anubis","Papio",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Papio_cynocephalus","Papio",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Papio_ursinus","Papio",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Lophocebus_aterrimus","Lophocebus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Mandrillus_sphinx","Mandrillus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Mandrillus_leucophaeus","Mandrillus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Lophocebus_albigena","Lophocebus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercocebus_torquatus","Cercocebus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercocebus_atys","Cercocebus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercocebus_chrysogaster","Cercocebus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercocebus_agilis","Cercocebus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_hamlyni","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_diana","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_neglectus","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_pogonias","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_mona","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_campbelli","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_nictitans","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_mitis","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Cercopithecus_erythrotis","Cercopithecus",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
